DATE,DEWP,FRSHTT,GUST,MAX,MIN,MXSPD,PRCP,SLP,SNDP,STP,TEMP,VISIB,WDSP
1973/1/1,23.8,0,999.9,42.8,33.8,15.5,0,1026.8,999.9,999.9,37.9,9.3,8.3
1973/1/2,15,0,999.9,48.2,23,13.6,0,1031.1,999.9,999.9,30.2,9.8,6.7
1973/1/3,20,0,999.9,37.4,23,9.7,0,1030.5,999.9,999.9,29.9,6.9,2.8
1973/1/4,24.1,0,999.9,39.2,26.6,7.8,0,1032.7,999.9,999.9,34.5,10.9,5.8
1973/1/5,34.1,10000,999.9,46.4,30.2,9.7,99.99,1033.3,999.9,999.9,41,7.2,6.8
1973/1/6,33.8,11000,999.9,41,32,9.7,0.47,1029.4,999.9,999.9,35.1,6.8,7.5
1973/1/7,28.7,1000,999.9,35.6,28.4,9.7,0.47,1029.7,999.9,999.9,31.5,7.5,5.3
1973/1/8,30.4,0,999.9,41,28.4,3.9,0,1026.3,999.9,999.9,33.8,5,1
1973/1/9,34.9,100000,999.9,51.8,28.4,11.7,0,1024.8,999.9,999.9,38.1,3.7,2.2
1973/1/10,29.5,10000,999.9,39.2,28.4,9.7,99.99,1033.8,999.9,999.9,34.7,7.3,7.5
1973/1/11,25,0,999.9,37.4,28.4,7.8,0,1034.6,999.9,999.9,33.6,10.6,4.1
1973/1/12,26.6,0,999.9,39.2,28.4,9.7,0,1029.2,999.9,999.9,33.5,12.3,4.5
1973/1/13,34.2,0,999.9,42.8,26.6,9.7,0,1026,999.9,999.9,39.2,8.9,5.1
1973/1/14,34.9,0,999.9,46.4,30.2,7.8,0,1024.2,999.9,999.9,41.5,11.5,6.6
1973/1/15,34.5,10000,999.9,44.6,35.6,9.7,99.99,1023.6,999.9,999.9,39.6,7.9,7.3
1973/1/16,35.1,10000,999.9,44.6,35.6,5.8,99.99,1024.5,999.9,999.9,40,5.6,1.6
1973/1/17,34.8,10000,999.9,39.2,35.6,5.8,0.04,1022,999.9,999.9,37.9,3.5,1.9
1973/1/18,36.6,0,999.9,44.6,33.8,3.9,0,1021.6,999.9,999.9,40.7,4.8,1.4
1973/1/19,34.9,0,999.9,50,39.2,11.7,0,1022.1,999.9,999.9,41.4,6,5.8
1973/1/20,39.7,10000,999.9,50,30.2,13.6,99.99,1021.4,999.9,999.9,45.1,5.4,8
1973/1/21,41.5,10000,999.9,71.6,39.2,5.8,99.99,1021.5,999.9,999.9,45.1,3.7,2.4
1973/1/22,47.2,10000,999.9,57.2,37.4,17.5,99.99,1018.1,999.9,999.9,52.6,6,15.8
1973/1/23,46.7,10000,999.9,51.8,41,15.5,0.12,1015.2,999.9,999.9,47.4,3.8,10.5
1973/1/24,32.5,0,999.9,48.2,35.6,15.5,0.08,1022.5,999.9,999.9,41.3,8,10.8
1973/1/25,29.7,0,999.9,46.4,28.4,7.8,0,1027.3,999.9,999.9,37,6.8,3.9
1973/1/26,27,100000,999.9,44.6,26.6,7.8,0,1030.1,999.9,999.9,35.4,7.3,4.1
1973/1/27,23.8,0,999.9,42.8,30.2,9.7,0,1036.4,999.9,999.9,36.9,11.5,6.7
1973/1/28,26.3,0,999.9,42.8,24.8,3.9,0,1034.2,999.9,999.9,35.1,9.9,0.6
1973/1/29,27.3,0,999.9,48.2,24.8,11.7,0,1033,999.9,999.9,37.2,8.2,3.2
1973/1/30,31.1,0,999.9,50,23,9.7,0,1028.1,999.9,999.9,41.5,7.3,4.4
1973/2/1,39.6,0,999.9,55.4,41,13.6,0,1030,999.9,999.9,46.6,6.6,8.7
1973/2/2,41.6,10000,999.9,71.6,39.2,17.5,99.99,1023,999.9,999.9,48.2,7.1,10.3
1973/2/3,43.5,10000,999.9,50,41,9.7,0.08,1022.1,999.9,999.9,44.4,3.6,7.3
1973/2/4,43,10000,999.9,46.4,42.8,7.8,0,1023.5,999.9,999.9,45,4,5.6
1973/2/5,40.6,10000,999.9,46.4,41,11.7,0.08,1025.2,999.9,999.9,42.6,4.3,6.6
1973/2/6,33,10000,999.9,48.2,35.6,13.6,0.31,1031.5,999.9,999.9,40.7,8.2,9.2
1973/2/7,27.6,1000,999.9,37.4,28.4,11.7,0.04,1037.6,999.9,999.9,31.1,6.6,6.6
1973/2/8,26.3,0,999.9,41,26.6,7.8,0.08,1036.1,999.9,999.9,33.3,12,2.9
1973/2/9,32.7,11000,999.9,39.2,28.4,13.6,0,1028.7,999.9,999.9,36,4.9,9.7
1973/2/10,37.9,10000,999.9,39.2,33.8,7.8,0.39,1025.8,999.9,999.9,38.2,3.9,4.5
1973/2/11,36.6,10000,999.9,41,37.4,5.8,0.2,1030.6,999.9,999.9,39,4.6,1.5
1973/2/12,34.9,0,999.9,44.6,35.6,5.8,0,1028.5,999.9,999.9,40.1,7.1,2.9
1973/2/13,38.5,100000,999.9,44.6,35.6,3.9,0,1025.8,999.9,999.9,40.6,2.8,1.9
1973/2/14,33.8,100000,999.9,51.8,30.2,5.8,0,1025.3,999.9,999.9,41.2,6.1,1.7
1973/2/15,39.2,0,999.9,57.2,32,7.8,0,1021.4,999.9,999.9,46.6,7.5,4.6
1973/2/16,46.9,110000,999.9,50,35.6,5.8,99.99,1015.6,999.9,999.9,48.4,3.2,1.7
1973/2/17,43.9,10000,999.9,51.8,41,13.6,0.12,1019.6,999.9,999.9,46.8,3.3,9.7
1973/2/18,37.7,10000,999.9,41,39.2,15.5,0.08,1019.7,999.9,999.9,40,4.3,9.2
1973/2/19,30.4,10000,999.9,39.2,30.2,13.6,0.2,1025.7,999.9,999.9,36.7,7.9,6.6
1973/2/20,30.4,0,999.9,46.4,26.6,13.6,0,1021.1,999.9,999.9,37.6,10.1,5.8
1973/2/21,39.9,110000,999.9,42.8,30.2,7.8,99.99,1010.2,999.9,999.9,41.7,2.7,3.6
1973/2/22,38.8,100000,999.9,60.8,33.8,15.5,0.12,1016.1,999.9,999.9,45,5.8,7.8
1973/2/23,27.5,0,999.9,46.4,30.2,5.8,0,1024.7,999.9,999.9,37,10.5,1.9
1973/2/25,41.7,10000,999.9,44.6,35.6,15.5,0.04,1014.3,999.9,999.9,43.5,4.7,4.9
1973/2/26,45.4,10000,999.9,48.2,42.8,11.7,0,1012,999.9,999.9,46.4,3.7,6.1
1973/2/27,45.9,10000,999.9,51.8,44.6,9.7,0.04,1011,999.9,999.9,47.4,3.2,4.4
1973/2/28,38.3,10000,999.9,46.4,35.6,13.6,0.04,1022.4,999.9,999.9,40.8,5.7,7.3
1973/3/1,31.3,0,999.9,42.8,30.2,9.7,0,1025.1,999.9,999.9,39,10.5,7.5
1973/3/2,31.1,0,999.9,48.2,33.8,9.7,0,1022.8,999.9,999.9,40.3,13,5.3
1973/3/3,37.4,10000,999.9,48.2,30.2,13.6,99.99,1017.7,999.9,999.9,43,8.9,7
1973/3/4,38.1,10000,999.9,50,33.8,13.6,99.99,1024.6,999.9,999.9,42.8,6.4,5.3
1973/3/5,32,11000,999.9,46.4,33.8,15.5,99.99,1026.1,999.9,999.9,40.3,7.9,9.5
1973/3/6,36,10000,999.9,39.2,33.8,13.6,0.83,1026.7,999.9,999.9,37.6,4.4,8.3
1973/3/7,36.5,10000,999.9,42.8,33.8,5.8,0.12,1029.1,999.9,999.9,39.2,4.8,2.7
1973/3/8,37.9,10000,999.9,50,28.4,21.4,0,1025.4,999.9,999.9,44.8,6.1,13.3
1973/3/9,44.9,10000,999.9,50,42.8,15.5,0.04,1018.1,999.9,999.9,46.7,3.6,7.5
1973/3/10,41.7,10000,999.9,48.2,42.8,9.7,1.5,1019.9,999.9,999.9,43.9,6.3,7
1973/3/11,43,0,999.9,48.2,41,7.8,0.24,1017.4,999.9,999.9,45.9,5.6,4.1
1973/3/12,39.9,10000,999.9,48.2,41,13.6,0,1020.9,999.9,999.9,44.8,6.3,8.7
1973/3/13,35.6,0,999.9,51.8,35.6,11.7,0.16,1025.1,999.9,999.9,45.7,11.3,9.5
1973/3/14,37.6,0,999.9,48.2,37.4,9.7,0,1026.3,999.9,999.9,43.5,8.5,5.1
1973/3/15,37.8,0,999.9,55.4,32,3.9,0,1025.1,999.9,999.9,45.3,5.8,1.5
1973/3/16,39.4,0,999.9,62.6,33.8,11.7,0,1025.5,999.9,999.9,50.2,9.2,5.8
1973/3/17,34.5,0,999.9,57.2,35.6,7.8,0,1026,999.9,999.9,47.8,13.4,4.4
1973/3/18,46.1,0,999.9,64.4,35.6,7.8,0,1023.8,999.9,999.9,53.3,9.7,2.5
1973/3/19,44.8,0,999.9,69.8,39.2,5.8,0,1020,999.9,999.9,59,10.8,2.4
1973/3/20,40.6,10000,999.9,69.8,42.8,19.4,99.99,1023.5,999.9,999.9,54.7,5.8,9.2
1973/3/21,32,0,999.9,57.2,39.2,7.8,0,1026.6,999.9,999.9,47.2,11.3,4.2
1973/3/22,37.9,10000,999.9,60.8,32,15.5,99.99,1018.8,999.9,999.9,53.6,10.5,5.8
1973/3/23,39.9,0,999.9,68,50,9.7,0,1020.2,999.9,999.9,58.5,8.5,6.1
1973/3/24,39.2,0,999.9,66.2,42.8,15.5,0,1025.3,999.9,999.9,53.4,9.2,11.9
1973/3/25,42.3,0,999.9,59,39.2,15.5,0,1023.5,999.9,999.9,51.1,7.2,10
1973/3/26,50.5,10000,999.9,69.8,48.2,7.8,99.99,1016.7,999.9,999.9,57.5,8.7,4.4
1973/3/27,51.1,0,999.9,84.2,48.2,15.5,0,1012.6,999.9,999.9,66.9,8.4,7.8
1973/3/28,59.5,10000,999.9,89.6,55.4,7.8,99.99,1012.9,999.9,999.9,72.3,8.4,4.1
1973/3/29,52.4,10000,999.9,69.8,51.8,9.7,99.99,1014.7,999.9,999.9,56.3,7.1,6.6
1973/3/30,54.5,0,999.9,62.6,51.8,3.9,0.12,1012.5,999.9,999.9,57.4,4.2,1.9
1973/3/31,52,0,999.9,64.4,50,9.7,0,1013.6,999.9,999.9,58.8,5.2,6.1
1973/4/1,43,10000,999.9,55.4,42.8,13.6,99.99,1013.8,999.9,999.9,49.1,7.4,8
1973/4/2,41,0,999.9,57.2,37.4,7.8,0.16,1020.1,999.9,999.9,50.9,10.8,3.9
1973/4/3,42.3,0,999.9,55.4,42.8,5.8,0,1018.3,999.9,999.9,50.5,8.3,3.6
1973/4/4,41,0,999.9,64.4,37.4,9.7,0,1019.5,999.9,999.9,52.5,9.3,3.9
1973/4/5,46,0,999.9,68,37.4,7.8,0,1018.9,999.9,999.9,58.8,9.3,3.2
1973/4/6,52.7,0,999.9,73.4,51.8,9.7,0,1013.9,999.9,999.9,61.9,10.8,4.4
1973/4/7,58.2,10000,999.9,75.2,51.8,13.6,99.99,1011.1,999.9,999.9,69,11.7,7.5
1973/4/8,61.9,10000,999.9,73.4,62.6,9.7,99.99,1009.2,999.9,999.9,67.1,9.1,6.6
1973/4/9,61.4,10000,999.9,69.8,59,7.8,99.99,1010.5,999.9,999.9,64.7,6,5.1
1973/4/10,60.6,10000,999.9,68,57.2,11.7,99.99,1005.8,999.9,999.9,62.8,4.7,7.3
1973/4/11,47.5,10000,999.9,62.6,46.4,19.4,0.24,1014.4,999.9,999.9,50,5.7,6.6
1973/4/12,47.1,0,999.9,68,39.2,5.8,0.08,1018.8,999.9,999.9,59.4,8.4,2.2
